"Name","vCPUs","MemoryGB","CachedDiskBytes","MaxResourceVolumeMB","CpuArchitectureType","LowPriorityCapable","EphemeralOSDiskSupported","EncryptionAtHostSupported","Regions"
"Standard_A1_v2","1","2","0","10240","x64","True","False","False","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_A2_v2","2","4","0","20480","x64","True","False","False","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_A2m_v2","2","16","0","20480","x64","True","False","False","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_A4_v2","4","8","0","40960","x64","True","False","False","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_A4m_v2","4","32","0","40960","x64","True","False","False","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_A8_v2","8","16","0","81920","x64","True","False","False","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_A8m_v2","8","64","0","81920","x64","True","False","False","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_B16als_v2","16","32","0","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_B16as_v2","16","64","0","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_B16ls_v2","16","32","0","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_B16pls_v2","16","32","0","0","Arm64","True","False","True","centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_B16ps_v2","16","64","0","0","Arm64","True","False","True","centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_B16s_v2","16","64","0","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_B2als_v2","2","4","0","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_B2as_v2","2","8","0","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_B2ats_v2","2","1","0","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_B2ls_v2","2","4","0","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_B2pls_v2","2","4","0","0","Arm64","True","False","True","centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_B2ps_v2","2","8","0","0","Arm64","True","False","True","centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_B2pts_v2","2","1","0","0","Arm64","True","False","True","centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
